class|name
20|Abanicos de mano
20|Abanicos de mano planos
20|Abanicos de mano plegables
20|Abanicos para uso personal (no eléctricos)
20|Aldabas de puerta no metálicas
20|Aldabas no metálicas para puertas
20|Almohadas
20|Almohadas cervicales
20|Almohadas de bambú
20|Almohadas de látex
20|Almohadas en forma de u
20|Almohadas inflables
20|Almohadas para viaje
20|Almohadas reposacabezas
20|Almohadones (muebles)
20|Altares de shinto de uso doméstico (kamidana)
20|Anaqueles para libros
20|Andadores para bebé
20|Anillas de cortinas
20|Animales embalsamados a través de taxidermia
20|Aparadores (muebles)
20|Armario para artículos para servir el te (chadansu)
20|Armarios
20|Armarios con espejo
20|Armarios de almacenamiento metálicos
20|Armarios de cocina
20|Armarios expositores
20|Armarios metálicos
20|Armarios para herramientas metálicos
20|Armarios para platos
20|Armarios para zapatos
20|Armazones de madera para camas
20|Asientos de suelo de estilo japonés (zaisu)
20|Atrapasueños (decoración)
20|Atriles para libros
20|Balancines de jardín
20|Ballena
20|Bancos
20|Bancos de trabajo
20|Bandejas de plástico (recipientes) utilizadas en el embalaje de alimentos
20|Barandillas de cama
20|Barras de colgar ropa usados para líneas automáticas de lavado
20|Barras de cortinas
20|Barras metálicas para cortinas
20|Barras no metálicas para cortinas
20|Barras para cortinas de ducha
20|Barras, ruedecillas y ganchos de cortinas
20|Barriles de madera
20|Barriles no metálicos
20|Bastidores de lienzo para artistas
20|Baúles nagamochi
20|Baúles para juguete
20|Biombo vertical oriental de un solo panel (tsuitate)
20|Biombos (muebles)
20|Biombos separadores plegables orientales (byoubu)
20|Botelleros (muebles)
20|Boyas de amarre no metálicas
20|Buffets (muebles)
20|Bustos de madera, cera, yeso o materias plásticas
20|Buzones de correo no metálicos ni de obra
20|Cajas para juguetes (muebles)
20|Cajas y baúles para juguetes
20|Cajones
20|Cajones (partes de muebles)
20|Camas
20|Camas de agua que no sean para uso médico
20|Camas de hospital
20|Camas de madera
20|Camas para animales de compañía
20|Camas para gatos
20|Camas para niños
20|Camas para perros
20|Camas plegables
20|Camas, colchones, almohadas y respaldos de cama
20|Cambiadores para bebés (colchonetas)
20|Canastas de fruta fresca para regalo
20|Cápsulas de taponado no metálicas
20|Cápsulas no metálicas para botellas
20|Carillones de viento
20|Carritos de servicio
20|Casilleros
20|Cierres de barril, no metálicos
20|Cierres no metálicos para botellas
20|Cierres no metálicos para recipientes
20|Clavijas no metálicas
20|Cofres no metálicos
20|Cojines
20|Cojines de apoyo para el cuello
20|Cojines de fieltro para patas de muebles
20|Cojines de lactancia
20|Cojines decorativos
20|Cojines hinchables para apoyar el cuello
20|Cojines hinchables, excepto para usos médicos
20|Cojines japoneses para suelos (zabuton)
20|Cojines para embarazadas
20|Cojines para sillas
20|Cojines rellenos con pelo
20|Colchones
20|Colchones de látex
20|Colchones de madera flexible
20|Colchones y almohadas
20|Colchonetas para dormir
20|Colchonetas para dormir para niños
20|Colchonetas para parques de bebés
20|Colmenas para abejas (cajas de colmena o panales de colmena)
20|Colmillos en bruto o semielaborado
20|Conchas de caracoles de mar
20|Conchas de mar
20|Conchas de tortuga en bruto o semielaboradas
20|Contenedores de embalaje industriales de madera
20|Contenedores industriales de embalaje de bambú
20|Contenedores para transporte, no de metal
20|Coral en bruto o semielaborado
20|Corrales de bebé
20|Cortinas de bambú
20|Cortinas de cuentas para decoración
20|Cortinas de cuentas para decorar
20|Cubas no metálicas
20|Cubos no metálicos de reciclaje de uso comercial
20|Cubos no metálicos de reciclaje de uso doméstico
20|Cuernos
20|Cuernos artificiales
20|Cuernos de animales
20|Cunas
20|Cunas de viaje
20|Decoraciones de materias plásticas para alimentos
20|Decoraciones de plástico para tartas
20|Dientes de animal
20|Divanes
20|Divisores de armarios
20|Encimeras
20|Escritorios (muebles)
20|Escritorios bajos de estilo japonés (wazukue)
20|Escritorios de oficina
20|Escritorios de pie
20|Esculturas de madera
20|Esculturas de materias plásticas
20|Espejos de mano (espejos de tocador)
20|Espejos decorativos
20|Espejos para el cuarto de baño y para afeitar
20|Espejos que no sean de mano
20|Espuma de mar (en bruto a semielaborada)
20|Estanterías de exposición
20|Estanterías metálicas
20|Estanterías plegables
20|Estantes de libros
20|Estantes de montaje para hardware computacional
20|Estantes inclinados
20|Estantes para equipaje (muebles)
20|Estantes para kimonos
20|Estantes para mancuernas
20|Estantes para papelería
20|Estantes para plantas
20|Estantes para vino (mobiliario)
20|Estatuas de ámbar
20|Estatuas de ámbar prensado
20|Estatuas de hueso
20|Estatuas de marfil
20|Estatuas de plástico
20|Estatuas de yeso
20|Estatuillas de resina
20|Estatuillas hechas de ámbar
20|Estores de papel
20|Estructuras de concha
20|Expositores (muebles)
20|Expositores de trajes
20|Figuras de ratán
20|Figuritas de resina
20|Flotadores de pesca
20|Formas de cuerpo humano de tamaño natural para exhibir ropa de vestir
20|Ganchos de cortina para ducha
20|Ganchos de cortinas
20|Ganchos para la ropa no metálicos
20|Ganchos para sombreros, no de metal
20|Goteros para café no eléctricos
20|Guarniciones no metálicas para muebles
20|Guarniciones no metálicas para ventanas
20|Heno onigaya en bruto o semielaborado
20|Huesos de animales en bruto o semielaborados
20|Imitación de alimentos hechos de plástico
20|Juncosen bruto o semielaborados
20|Lechos inflables para mascotas
20|Letreros verticales de madera o materias plásticas
20|Literas
20|Madreperla
20|Manijas de puerta no metálicas
20|Maniquíes
20|Marcos (arte y decoración)
20|Marcos para cuadros y fotografías
20|Marcos para cuadros y fotos que no sean de metales preciosos
20|Marcos para espejo
20|Mesas bajas de estilo japonés (zataku)
20|Mesas de acicalado para animales de compañía
20|Mesas de altura ajustable
20|Mesas de caballete
20|Mesas de camping
20|Mesas de comedor
20|Mesas de exposición
20|Mesas de madera para cortar
20|Mesas de mármol
20|Mesas de masaje
20|Mesas de oficina
20|Mesas de té
20|Mesas de tocador con tres espejos
20|Mesas para cambiado de bebés
20|Mesitas auxiliares
20|Mobiliario escolar
20|Móviles para la decoración
20|Mudadores
20|Mueble de baño
20|Muebles
20|Muebles a medida para cocinas
20|Muebles de camping
20|Muebles de casa, oficina y jardín
20|Muebles de dormitorio
20|Muebles de materias plásticas para jardines
20|Muebles de oficina
20|Muebles de tubos de acero
20|Muebles hechos de madera o sucedáneos de la madera
20|Muebles metálicos
20|Muebles metálicos y muebles de camping
20|Muebles para animales de compañía
20|Muebles para exhibir productos
20|Muebles para niños
20|Muebles tapizados
20|Nidales para animales de compañía
20|Objetos de arte de ámbar prensado
20|Objetos de arte de bambú
20|Obras de arte de cera
20|Obras de arte de corcho
20|Obras de arte de madera
20|Obras de arte de madera, cera, yeso o materias plásticas
20|Obras de arte de paja
20|Obras de arte de yeso
20|Obras de arte hechas de ámbar
20|Palés de carga no metálicos
20|Palos de madera para sujetar caramelos o helados
20|Palos para transportar cargas a hombros
20|Pantallas de chimenea
20|Paragüeros
20|Parques de bebés
20|Partes de camas no metálicas
20|Partes de muebles
20|Peras (sillas en forma de saco rellenos de materias plásticas)
20|Perchas para prendas de vestir
20|Percheros
20|Percheros mostradores de tablas de surf
20|Percheros para sombreros
20|Perillas no metálicas
20|Persianas de caña, ratán o bambú (sudare)
20|Persianas de interior
20|Persianas de interior de laminillas para ventanas
20|Persianas de laminillas para interiores
20|Persianas metálicas de interior para ventanas
20|Persianas metálicas enrollables de interior para guiar la luz
20|Persianas venecianas interiores
20|Placas de identificación no metálicas
20|Placas para nombres de puertas, no de metal
20|Plataformas para cambiado de bebés
20|Ratán (material en bruto o semielaborado)
20|Recipientes de materias plásticas para embalar
20|Remaches no metálicos
20|Reposabrazos de estilo japonés (kyosoku)
20|Revisteros
20|Rieles metálicos para cortinas
20|Rieles no metálicos para cortinas
20|Rieles para cortinas
20|Secreteres
20|Sillas
20|Sillas adaptadas para su uso por personas con problemas de movilidad
20|Sillas de comedor
20|Sillas de oficina
20|Sillas inflables
20|Sillas mecedoras
20|Sillas plegables
20|Sillas reclinables
20|Sillones
20|Sillones cama
20|Sillones de barberías
20|Sillones de oficina
20|Sillones de peluquería
20|Sillones para tratamientos cosméticos
20|Sillones reclinables
20|Sobrecolchones (toppers)
20|Sofá de dos cuerpos
20|Sofás cama
20|Somieres
20|Somieres de camas
20|Tabiques autoportantes (muebles)
20|Tabiques de oficina móviles
20|Tableros de mesa
20|Tablones de anuncios
20|Taburetes
20|Tachuelas no metálicas para tapicería
20|Tanques de agua no metálicos ni de obra para uso industrial
20|Tanques de almacenamiento de gas no metálicos ni de obra
20|Tanques de almacenamiento de líquidos no metálicos ni de obra
20|Tanques de almacenamiento no metálicos ni de obra
20|Tanques de materias plásticas para almacenamiento
20|Tapas de madera para contenedores de embalaje industriales
20|Tapas de rosca no metálicas para botellas
20|Tapetes para fregaderos
20|Tapones de caucho para contenedores de embalaje industrial
20|Tapones de corcho
20|Tapones de madera para contenedores industriales de embalaje
20|Tapones de plástico para botellas
20|Tapones no metálicas para botellas
20|Tapones plásticos para contenedores de embalaje industrial
20|Tarimas
20|Timbres de puerta no metálicos ni eléctricos
20|Toalleros (muebles)
20|Tornillos no metálicos
20|Tornillos sujetacables no metálicos
20|Travesaños (almohadas)
20|Trenzas de paja
20|Tronas para niños
20|Tubos de plástico para envíos por correo
20|Tumbonas
20|Urnas crematorias
20|Urnas funerarias
20|Válvulas cerámicas operadas manualmente que no sean partes de máquinas
20|Veladores (muebles)
20|Vestidores (mesas de tocador)
20|Vitrinas
20|Vitrinas para mercancías
